1707013525919|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual
1707013525992|72|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')
1707013539558|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| select count(1) from temp | select count(1) from temp 
1707013539575|4|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013539578|4|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013539577|5|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013539577|4|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013539678|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013539680|5|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013539682|5|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013539684|5|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013539741|6|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013539742|6|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013548448|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| select count(1) from temp | select count(1) from temp 
1707013548456|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013548463|3|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013548465|5|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013548466|5|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013548549|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013548556|9|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013548560|9|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013548561|8|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013548622|8|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013548630|9|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013707173|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual
1707013707240|65|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')
1707013714120|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| select count(1) from temp | select count(1) from temp 
1707013714141|4|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY 
